GFISHER name,WORMS name
ALBULAVULPES-121030101,Albula vulpes
ALECTISCILIARIS-170110101,Alectis ciliaris
ANISOTREMUSVIRGINICUS-170190105,Anisotremus virginicus
ARCHOSARGUSPROBATOCEPHALUS-170213601,Archosargus probatocephalus
BALISTESCAPRISCUS-189030502,Balistes capriscus
BALISTESVETULA-189030504,Balistes vetula
BODIANUSPULCHELLUS-170280201,Bodianus pulchellus
BODIANUSRUFUS-170280202,Bodianus rufus
CALAMUSBAJONADO-170210602,Calamus bajonado
CALAMUSLEUCOSTEUS-170210604,Calamus leucosteus
CALAMUSNODOSUS-170210608,Calamus nodosus
CALAMUSPRORIDENS-170210605,Calamus proridens
CALLIONYMIDAE-170420000,Callionymidae
CANTHIDERMISSUFFLAMEN-189030402,Canthidermis sufflamen
CANTHIGASTERJAMESTYLERI-189080102,Canthigaster jamestyleri
CARANXBARTHOLOMAEI-170110801,Caranx bartholomaei
CARANXCRYSOS-170110803,Caranx crysos
CARANXRUBER-170110807,Caranx ruber
CAULOLATILUSCHRYSOPS-170070104,Caulolatilus chrysops
CAULOLATILUSCYANOPS-170070101,Caulolatilus cyanops
CAULOLATILUSMICROPS-170070103,Caulolatilus microps
CENTROPRISTISPHILADELPHICA-170024805,Centropristis philadelphica
CEPHALOPHOLISCRUENTATA-170020401,Cephalopholis cruentata
CHAETODIPTERUSFABER-170250101,Chaetodipterus faber
CHAETODONCAPISTRATUS-170260302,Chaetodon capistratus
CHAETODONOCELLATUS-170260307,Chaetodon ocellatus
CHAETODONSEDENTARIUS-170260309,Chaetodon sedentarius
CHROMISENCHRYSURUS-170270302,Chromis enchrysurus
CHROMISINSOLATUS-170270304,Chromis insolata
DECODONPUELLARIS-170283001,Decodon puellaris
DERMATOLEPISINERMIS-170020301,Dermatolepis inermis
DIPLECTRUMFORMOSUM-170020903,Diplectrum formosum
EPINEPHELUSADSCENSIONIS-170021203,Epinephelus adscensionis
EPINEPHELUSMORIO-170021211,Epinephelus morio
GONIOPLECTRUSHISPANUS-170021403,Gonioplectrus hispanus
GYMNOTHORAXMORINGA-143060202,Gymnothorax moringa
GYMNOTHORAXSAXICOLA-143060205,Gymnothorax saxicola
HAEMULONALBUM-170191002,Haemulon album
HAEMULONAUROLINEATUM-170191003,Haemulon aurolineatum
HALICHOERESBATHYPHILUS-170281201,Halichoeres bathyphilus
HALICHOERESBIVITTATUS-170281202,Halichoeres bivittatus
HOLACANTHUSBERMUDENSIS-170290102,Holacanthus bermudensis
HOLOCENTRUSADSCENSIONIS-161110201,Holocentrus adscensionis
LACHNOLAIMUSMAXIMUS-170281801,Lachnolaimus maximus
LIOPROPOMAEUKRINES-170025602,Liopropoma eukrines
LUTJANUSANALIS-170151101,Lutjanus analis
LUTJANUSAPODUS-170151102,Lutjanus apodus
LUTJANUSCAMPECHANUS-170151107,Lutjanus campechanus
LUTJANUSGRISEUS-170151109,Lutjanus griseus
LUTJANUSSYNAGRIS-170151113,Lutjanus synagris
LUTJANUSVIVANUS-170151114,Lutjanus vivanus
MALACANTHUSPLUMIERI-170070301,Malacanthus plumieri
MURAENARETIFERA-143060402,Muraena retifera
MYCTEROPERCABONACI-170022101,Mycteroperca bonaci
MYCTEROPERCAINTERSTITIALIS-170022103,Mycteroperca interstitialis
MYCTEROPERCAMICROLEPIS-170022104,Mycteroperca microlepis
MYCTEROPERCAPHENAX-170022105,Mycteroperca phenax
OPHICHTHUSPUNCTICEPS-143150402,Ophichthus puncticeps
OSTICHTHYSTRACHYPOMUS-161110601,Ostichthys trachypoma
PAGRUSPAGRUS-170212302,Pagrus pagrus
PARANTHIASFURCIFER-170022701,Paranthias furcifer
POMACANTHUSARCUATUS-170290201,Pomacanthus arcuatus
POMACANTHUSPARU-170290203,Pomacanthus paru
PRIACANTHUSARENATUS-170050101,Priacanthus arenatus
PRISTIGENYSALTA-170050401,Pristigenys alta
PTEROIS-168011900,Pterois
RHOMBOPLITESAURORUBENS-170152001,Rhomboplites aurorubens
SCOMBEROMORUSMACULATUS-170440803,Scomberomorus maculatus
SELENEVOMER-170113003,Selene vomer
SERIOLADUMERILI-170113101,Seriola dumerili
SERIOLAFASCIATA-170113103,Seriola fasciata
SERIOLARIVOLIANA-170113105,Seriola rivoliana
SERIOLAZONATA-170113106,Seriola zonata
SERRANUSANNULARIS-170024201,Serranus annularis
SERRANUSATROBRANCHUS-170024202,Serranus atrobranchus
SERRANUSSUBLIGARIUS-170024209,Serranus subligarius
SERRANUSPHOEBE-170024208,Serranus phoebe
SPHYRAENABARRACUDA-165030101,Sphyraena barracuda
STENOCIONOPSSPINIMANA-229211803,Stenocionops spinimanus
UPENEUSPARVUS-170220605,Upeneus parvus
UROPHYCISREGIA-148010105,Urophycis regia
XANTHICHTHYSRINGENS-189030101,Xanthichthys ringens
ANOMURA-999100401,Anomura
ANTHIINAE-999020300,Anthiadidae
CALAMUS-170210600,Calamus
CANTHIGASTERROSTRATA-189080101,Canthigaster rostrata
CARANGIDAE-170110000,Carangidae
CARCHARHINUSFALCIFORMIS-108020202,Carcharhinus falciformis
CARCHARHINUSPLUMBEUS-108020208,Carcharhinus plumbeus
CARCHARHINUS-108020200,Carcharhinus
CENTROPRISTISOCYURUS-170024804,Centropristis ocyurus
CHAETODON-170260300,Chaetodon
CHROMIS-170270300,Chromis
DECAPTERUS-170111200,Decapterus
EPINEPHELUS-170021200,Epinephelus
GOBIIDAE-170550000,Gobiidae
HALICHOERES-170281200,Halichoeres
HOLACANTHUS-170290100,Holacanthus
HOLOCENTRUS-161110200,Holocentrus
HYPOPLECTRUS-170021500,Hypoplectrus
HYPORTHODUSFLAVOLIMBATUS-170021206,Hyporthodus flavolimbatus
IOGLOSSUS-170550800,Ptereleotris
LUTJANUS-170151100,Lutjanus
MONACANTHUSTUCKERI-189040203,Monacanthus tuckeri
MULLIDAE-170220000,Mullidae
MYCTEROPERCA-170022100,Mycteroperca
OPISTOGNATHUSAURIFRONS-170310203,Opistognathus aurifrons
OPISTOGNATHUS-170310200,Opistognathus
PAREQUESUMBROSUS-170201105,Pareques umbrosus
POMACENTRIDAE-170270000,Pomacentridae
PRISTIPOMOIDES-170151800,Pristipomoides
PROGNATHODESAYA-170260301,Prognathodes aya
PRONOTOGRAMMUSMARTINICENSIS-170025101,Pronotogrammus martinicensis
SCOMBEROMORUS-170440800,Scomberomorus
SERIOLA-170113100,Seriola
SERRANUSTORTUGARUM-170024211,Serranus tortugarum
SERRANUS-170024200,Serranus
SPHYRNALEWINI-108040102,Sphyrna lewini
STENOTOMUSCAPRINUS-170213403,Stenotomus caprinus
SYACIUM-183011000,Syacium
SYNODONTIDAE-129040000,Synodontidae
UNKNOWNFISH,Chordata
SCHOOL,Chordata
HYPORTHODUSNIGRITUS-170021202,Hyporthodus nigritus
